Year,Model,Region,Units_Sold,Average_Price_USD,Revenue_USD,Estimated_Market_Share_Pct,Competition_Index_100,Average_Delivery_Days,Customer_Satisfaction_5
2019,Cybertruck,Latin America,3719,78017.72,290147900.68,1.61,98.0,41,4.17
2019,Model X,Europe,20517,90177.57,1850173203.69,2.52,97.47,44,4.22
2019,Model X,Latin America,6026,100049.17,602896298.42,2.62,94.13,50,4.21
2019,Model X,North America,26179,99646.26,2608639440.54,2.66,98.0,46,4.08
2019,Model Y,Latin America,35052,48685.61,1706528001.72,16.41,68.31,37,4.24
2020,Cybertruck,North America,20564,75443.04,1551410674.56,2.44,94.34,23,4.34
2020,Model 3,Latin America,33347,39991.42,1333593882.74,16.23,74.18,48,4.4
2020,Model X,Asia-Pacific,27852,95253.57,2653002431.64,3.66,95.61,23,4.62
2020,Model X,Europe,28539,89647.7,2558455710.3,3.18,95.71,29,4.38
2020,Model Y,Europe,175253,50945.68,8928383257.04,23.64,62.52,31,4.25
2021,Model 3,Europe,169333,41436.38,7016546534.54,23.4,58.38,49,4.03
2021,Model S,North America,52964,93127.88,4932425036.32,5.07,88.08,31,3.82
2021,Model X,North America,45877,90567.65,4154972079.05,5.07,97.15,31,4.15
2021,Model Y,Europe,195513,52584.54,10280961169.02,28.86,54.26,28,4.37
2021,Model Y,North America,259821,52943.03,13755710997.63,27.94,46.87,42,4.32
2022,Model 3,Middle East & Africa,82009,41672.52,3417521692.68,28.4,45.0,28,4.7
2023,Model 3,Europe,203452,38605.43,7854351944.36,31.21,45.0,37,4.36
2023,Model S,Asia-Pacific,58751,90665.49,5326688202.99,6.16,94.06,25,4.13
2023,Model S,Middle East & Africa,25170,89605.1,2255360367.0,8.11,83.19,32,4.57
2023,Model Y,Latin America,86101,49243.26,4239893929.26,35.0,45.0,31,4.43
2024,Cybertruck,North America,44707,69473.4,3105947293.8,4.93,95.37,30,4.24
2024,Model 3,Asia-Pacific,250691,41149.52,10315814318.32,31.78,45.0,33,4.26
2024,Model 3,Europe,271142,42257.24,11457712568.08,34.25,45.0,16,4.43
2024,Model 3,Middle East & Africa,94595,38204.5,3613954677.5,32.02,45.0,19,4.41
2024,Model S,Latin America,17718,87638.1,1552771855.8,9.37,76.12,20,4.37
2024,Model S,Middle East & Africa,25096,84808.19,2128346336.24,7.18,92.44,20,4.33
2024,Model X,Europe,56092,86442.04,4848706907.68,6.35,92.52,27,4.53
2025,Model X,Asia-Pacific,61370,90552.99,5557236996.3,8.57,84.59,16,4.37
2025,Model Y,Europe,350720,47071.56,16508937523.2,35.0,45.0,22,4.6
2025,Model Y,North America,374476,49770.19,18637741670.44,35.0,45.0,28,4.59
